Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,ret,trend,vol_ann,high_vol,regime_scalar,base_lev,target_exposure,rebalance_flag,position,position_lag,turnover,tcost,BT_ret_net,BT_equity,equity_bh,dd_strat,dd_bh
2023-01-26,96.78868865966795,97.5199966430664,97.56999969482422,95.37999725341795,96.5,30114000,90.73244934082031,92.77620834350586,104.80710147857666,60.24644478909315,1.4829548778216832,0.4569303228893535,1.0260245549323297,99.09368141626493,90.73244934082031,82.37121726537569,3.0007275172642287,0.02415459912189144,0,0.3276477274790826,0,0.3,0.5493705126079087,0.1648111537823726,0,0.17228224542225049,0.17228224542225049,0.0,0.0,0.004161408573993777,2.739895069240417,2.530456040255015,-0.1695627432522232,-0.34916598580140645
2023-01-27,98.62481689453124,99.37000274658205,100.31999969482422,97.30999755859376,97.30999755859376,33879800,91.39494361877442,92.84905792236329,104.6609383392334,63.29808971453104,1.760469710389728,0.7176382003894284,1.0428315100002996,100.06287546341596,91.39494361877442,82.72701177413288,3.0508210318429128,0.018970483641115754,0,0.3206754402093649,0,0.3,0.5613152035668223,0.1683945610700467,1,0.1683945610700467,0.17228224542225049,0.0038876843522037963,2.7213790465426575e-06,0.0032655561393909495,2.7488423504050625,2.578460015171235,-0.1668509037700714,-0.33681934978197037
2023-01-30,96.21304321289062,96.94000244140624,98.29000091552734,96.4000015258789,97.4800033569336,27226200,91.81626052856446,92.81928298950196,104.50821979522705,57.09801063508484,1.765441325856159,0.9271988254827745,0.8382425003733844,100.56451137115916,91.81626052856446,83.06800968596976,2.9693810599190837,-0.024454024428960386,0,0.3297379874609782,0,0.3,0.5458879681592692,0.16376639044778077,0,0.1683945610700467,0.1683945610700467,0.0,0.0,-0.004117924710110983,2.73752282456613,2.51540629097114,-0.1702817490206433,-0.35303678560321583
2023-01-31,98.09878540039062,98.83999633789062,98.87999725341795,96.81999969482422,96.87000274658205,29870700,92.34278221130371,92.81908416748047,104.3541142654419,60.3668645029546,1.8996470529212388,1.1216884709704673,0.7779585819507715,101.2800769734662,92.34278221130371,83.40548744914123,2.9570208958217057,0.01959965223558524,0,0.3325755727257229,0,0.3,0.5412303691601761,0.16236911074805283,0,0.1683945610700467,0.1683945610700467,0.0,0.0,0.0033004748353369358,2.746557949759771,2.5647073795053776,-0.16754328481286607,-0.34035653159182255
2023-02-01,99.67687225341795,100.43000030517578,101.19000244140624,97.58000183105467,98.70999908447266,35531100,92.9040412902832,92.86017379760742,104.22360038757324,62.91350221728012,2.1090328609439695,1.3191573489651678,0.7898755119788017,102.21453822122972,92.9040412902832,83.59354435933669,2.940373011997766,0.016086711436704926,0,0.3342548295044516,0,0.3,0.5385112917197289,0.16155338751591866,0,0.1683945610700467,0.1683945610700467,0.0,0.0,0.002708914711444426,2.75399814099571,2.6059650870390683,-0.16528823057045494,-0.32974503746443307
2023-02-02,106.93205261230467,107.73999786376952,107.8499984741211,105.61000061035156,105.8000030517578,69883800,93.87966957092286,93.0648275756836,104.12466541290283,71.86440488841279,2.8278078347653377,1.6208874461252019,1.2069203886401358,104.73201040279874,93.87966957092286,83.02732873904698,3.372738974434987,0.0727869985771743,1,0.40195281430167756,0,1.1,0.44781375722600275,0.4925951329486031,0,0.1683945610700467,0.1683945610700467,0.0,0.0,0.01225693467700938,2.7877537163104997,2.795645464121547,-0.15505722293842605,-0.2809591904600127
2023-02-03,103.99424743652344,104.77999877929688,107.80999755859376,102.58000183105467,102.93000030517578,65309300,94.8017032623291,93.24705078125,103.99946636199951,65.0211157340151,3.1243700613748615,1.921583969175134,1.2027860921997275,105.80793184468502,94.8017032623291,83.79547467997318,3.5991668701171875,-0.027473569467824643,0,0.4089063218303293,0,0.3,0.44019862347515576,0.13205958704254672,1,0.13205958704254672,0.1683945610700467,0.03633497402749997,2.5434481819249975e-05,-0.004651834153381017,2.7747855483617516,2.718839104255595,-0.15898775660641373,-0.30071380809111037
2023-02-06,102.12834930419922,102.9000015258789,104.36000061035156,101.87999725341795,102.4000015258789,31999600,95.57386932373046,93.36317337036132,103.87470905303955,61.04507082473104,3.172267452733948,2.171720665886897,1.000546786847051,106.34689205110244,95.57386932373046,84.80084659635848,3.6191673278808603,-0.017942320640986775,0,0.4205644163828115,0,0.3,0.4279962664177421,0.12839887992532262,0,0.13205958704254672,0.13205958704254672,0.0,0.0,-0.002369455454433676,2.7682108176093023,2.6700568212757876,-0.1609804976537681,-0.31326062516615427
2023-02-07,106.8328094482422,107.63999938964844,108.18000030517578,103.12000274658205,103.22000122070312,49010200,96.54751319885254,93.54539672851563,103.78948059082032,66.59201387572031,3.5489272728080863,2.447161987271135,1.1017652855369513,107.70769529809117,96.54751319885254,85.38733109961392,3.8946718488420777,0.0460641944777771,1,0.4410801881851879,1,0.6,0.40808906140310897,0.24485343684186536,0,0.13205958704254672,0.13205958704254672,0.0,0.0,0.0060832185001828045,2.7850504488673895,2.7930508379577508,-0.15587655869508132,-0.281626529048261
2023-02-08,98.62481689453124,99.37000274658205,103.13999938964844,98.04000091552734,102.0500030517578,94743500,97.09090766906738,93.58331024169922,103.68891296386718,52.536052147764096,3.148818868036699,2.587493363424248,0.561325504612451,107.4806409502507,97.09090766906738,86.70117438788405,4.296064649309433,-0.07683026025527795,0,0.5392430404782156,1,0.0,0.3338012482096589,0.0,0,0.13205958704254672,0.13205958704254672,0.0,0.0,-0.010146172441683397,2.756792846754393,2.5784600151712347,-0.16444118069262825,-0.3368193497819705
